TIME    FLOOR   READING
9:16    8       479.8
9:30    9       468.0
9:36    10      455.0
9:41    11      443.0
9:48    8       477.1
9:54    12      427.3
9:59    13      418.3
10:09   B       576.5
10:17   1       562.0
10:24   8       476.5
10:30   2       545.1
10:38   3       533.8
10:45   4       524.9
10:50   5       511.5
10:56   8       476.0
11:04   6       503.0
11:14   7       488.9
11:20   8       475.4
